Date,Count,Unnamed: 0.1
2013-09-26,2,
2013-09-27,5,
2013-09-28,3,
2013-09-29,1,
2013-09-30,4,
2013-10-02,2,
2013-10-04,3,3.0
2013-10-05,16,2.0
2013-10-06,2,1.0
2013-10-07,9,0.0
2013-10-08,6,7.0
2013-10-09,3,6.0
2013-10-10,2,4.0
2013-10-11,5,5.0
2013-10-12,2,
2013-10-13,1,
2013-10-14,1,
2013-10-19,1,
2013-10-20,1,
2013-10-21,2,
2013-10-22,4,
2013-10-25,8,
2013-10-26,3,
2013-10-27,1,
2013-10-28,1,
2013-10-29,3,
2013-10-30,6,
2013-10-31,3,
2013-11-03,3,
2013-11-04,1,
2013-11-06,2,
2013-11-07,41,
2013-11-08,4,
2013-11-09,5,
2013-11-10,1,
2013-11-13,1,
2013-11-14,1,
2013-11-15,12,
2013-11-20,1,
2013-11-22,3,
2013-11-23,3,
2013-11-28,1,
2013-11-29,7,
2013-11-30,3,
2013-12-01,1,
2013-12-02,1,
2013-12-03,1,
2013-12-04,3,
2013-12-05,2,
2013-12-06,3,
2013-12-07,3,
2013-12-09,1,
2013-12-11,2,
2013-12-12,1,
2013-12-13,1,
2013-12-14,1,
2013-12-15,2,
2013-12-16,1,
2013-12-18,21,
2013-12-19,4,
2013-12-23,2,
2013-12-24,4,
2014-01-04,2,
2014-01-05,1,
2014-01-07,1,
2014-01-08,1,
2014-01-09,71,
2014-01-10,2,
2014-01-11,5,
2014-01-12,3,
2014-01-13,4,
2014-01-14,1,
2014-01-15,1,
2014-01-16,2,
2014-01-20,2,
2014-01-21,11,
2014-01-22,9,
2014-01-23,1,
2014-01-24,1,
2014-01-28,5,
2014-01-30,1,
2014-01-31,5,
2014-02-01,1,
2014-02-02,2,
2014-02-03,1,
2014-02-04,1,
2014-02-05,1,
2014-02-06,1,
2014-02-07,3,
2014-02-08,2,
2014-02-10,3,
2014-02-12,2,
2014-02-13,18,
2014-02-15,17,
2014-02-16,1,
2014-02-20,3,
2014-02-21,1,
2014-02-22,6,
2014-02-23,1,
2014-02-24,1,
2014-02-26,1,
2014-03-01,1,
2014-03-02,1,
2014-03-03,1,
2014-03-04,4,
2014-03-05,2,
2014-03-06,3,
2014-03-11,4,
2014-03-12,2,
2014-03-13,2,
2014-03-14,6,
2014-03-15,4,
2014-03-16,10,
2014-03-17,4,
2014-03-21,2,
2014-03-22,2,
2014-03-23,4,
2014-03-25,4,
2014-03-26,3,
2014-03-27,9,
2014-03-28,18,
2014-03-29,6,
2014-03-31,3,
2014-04-01,4,
2014-04-02,1,
2014-04-03,1,
2014-04-04,8,
2014-04-05,4,
2014-04-06,2,
2014-04-09,4,
2014-04-10,2,
2014-04-16,12,
2014-04-17,3,
2014-04-18,12,
2014-04-19,8,
2014-04-23,5,
2014-04-24,37,
2014-04-25,16,
2014-04-26,4,
2014-04-27,6,
2014-04-28,2,
2014-04-29,15,
2014-04-30,2,
2014-05-01,9,
2014-05-02,16,
2014-05-03,6,
2014-05-04,12,
2014-05-05,13,
2014-05-06,6,
2014-05-07,4,
2014-05-08,10,
2014-05-09,2,
2014-05-22,4,
2014-05-23,16,
2014-05-24,12,
2014-05-25,5,
2014-05-26,11,
2014-05-27,20,
2014-05-28,13,
2014-05-29,13,
2014-05-30,43,
2014-05-31,7,
2014-06-01,3,
2014-06-02,10,
2014-06-03,9,
2014-06-04,1,
2014-06-05,4,
2014-06-06,7,
2014-06-07,10,
2014-06-08,1,
2014-06-09,12,
2014-06-10,21,
2014-06-11,21,
2014-06-12,15,
2014-06-13,9,
2014-06-14,7,
2014-06-15,6,
2014-09-15,46,
2014-09-16,59,
2014-09-17,62,
2014-09-18,4,
2014-09-19,2,
2014-09-23,1,
2014-09-24,24,
2014-09-25,43,
2014-09-26,40,
2014-09-27,41,
2014-09-28,32,
2014-09-29,36,
2014-09-30,61,
2014-10-01,30,
2014-10-07,6,
2014-10-08,65,
2014-10-09,61,
