Date,Count,Unnamed: 0.1
2013-09-24,28,9.0
2013-09-25,49,8.0
2013-09-26,43,
2013-09-27,26,
2013-09-28,54,
2013-09-29,35,
2013-09-30,660,
2013-10-01,33,
2013-10-02,54,
2013-10-03,17,
2013-10-04,34,3.0
2013-10-05,65,2.0
2013-10-06,65,1.0
2013-10-07,54,0.0
2013-10-08,47,7.0
2013-10-09,53,6.0
2013-10-10,56,4.0
2013-10-11,35,5.0
2013-10-12,62,
2013-10-13,34,
2013-10-14,38,
2013-10-18,39,
2013-10-19,133,
2013-10-20,39,
2013-10-21,39,
2013-10-22,35,
2013-10-23,40,
2013-10-24,21,
2013-10-25,90,
2013-10-26,39,
2013-10-27,293,
2013-10-28,83,
2013-10-29,36,
2013-10-30,60,
2013-10-31,110,
2013-11-01,64,
2013-11-02,298,
2013-11-03,160,
2013-11-04,193,
2013-11-05,32,
2013-11-06,488,
2013-11-07,689,
2013-11-08,624,
2013-11-09,314,
2013-11-10,261,
2013-11-11,442,
2013-11-12,442,
2013-11-13,388,
2013-11-14,177,
2013-11-15,24,
2013-11-16,193,
2013-11-17,54,
2013-11-19,16,
2013-11-20,61,
2013-11-22,19,
2013-11-23,45,
2013-11-24,29,
2013-11-25,33,
2013-11-26,22,
2013-11-27,498,
2013-11-28,149,
2013-11-29,163,
2013-11-30,75,
2013-12-01,217,
2013-12-02,40,
2013-12-03,26,
2013-12-04,24,
2013-12-05,20,
2013-12-06,67,
2013-12-07,102,
2013-12-08,53,
2013-12-09,86,
2013-12-10,25,
2013-12-11,49,
2013-12-12,28,
2013-12-13,16,
2013-12-14,25,
2013-12-15,734,
2013-12-16,35,
2013-12-17,33,
2013-12-18,104,
2013-12-19,120,
2013-12-20,4,
2013-12-22,30,
2013-12-23,427,
2013-12-24,42,
2013-12-25,35,
2013-12-26,95,
2013-12-27,62,
2014-01-03,469,
2014-01-04,86,
2014-01-05,58,
2014-01-06,19,
2014-01-07,136,
2014-01-08,30,
2014-01-09,80,
2014-01-10,27,
2014-01-11,1739,
2014-01-12,233,
2014-01-13,53,
2014-01-14,322,
2014-01-15,75,
2014-01-16,34,
2014-01-20,41,
2014-01-21,46,
2014-01-22,156,
2014-01-23,68,
2014-01-24,78,
2014-01-25,14,
2014-01-27,33,
2014-01-28,67,
2014-01-29,31,
2014-01-30,147,
2014-01-31,197,
2014-02-01,452,
2014-02-02,269,
2014-02-03,72,
2014-02-04,34,
2014-02-05,23,
2014-02-06,35,
2014-02-07,49,
2014-02-08,40,
2014-02-10,33,
2014-02-11,70,
2014-02-12,48,
2014-02-13,196,
2014-02-14,103,
2014-02-15,71,
2014-02-16,81,
2014-02-17,22,
2014-02-19,18,
2014-02-20,117,
2014-02-21,80,
2014-02-22,56,
2014-02-23,41,
2014-02-24,75,
2014-02-25,140,
2014-02-26,40,
2014-02-27,20,
2014-02-28,7,
2014-03-01,35,
2014-03-02,48,
2014-03-03,24,
2014-03-04,44,
2014-03-05,28,
2014-03-06,53,
2014-03-07,38,
2014-03-09,8,
2014-03-10,62,
2014-03-11,80,
2014-03-12,80,
2014-03-13,84,
2014-03-14,140,
2014-03-15,96,
2014-03-16,188,
2014-03-17,138,
2014-03-18,13,
2014-03-21,104,
2014-03-22,69,
2014-03-23,34,
2014-03-24,41,
2014-03-25,221,
2014-03-26,415,
2014-03-27,343,
2014-03-28,81,
2014-03-29,195,
2014-03-30,41,
2014-03-31,55,
2014-04-01,57,
2014-04-02,43,
2014-04-03,61,
2014-04-04,57,
2014-04-05,43,
2014-04-06,26,
2014-04-08,88,
2014-04-09,138,
2014-04-10,135,
2014-04-11,50,
2014-04-14,94,
2014-04-16,689,
2014-04-17,590,
2014-04-18,746,
2014-04-19,23,
2014-04-23,95,
2014-04-24,371,
2014-04-25,155,
2014-04-26,167,
2014-04-27,221,
2014-04-28,74,
2014-04-29,87,
2014-04-30,118,
2014-05-01,637,
2014-05-02,402,
2014-05-03,519,
2014-05-04,2122,
2014-05-05,556,
2014-05-06,167,
2014-05-07,140,
2014-05-08,138,
2014-05-09,78,
2014-05-17,4,
2014-05-20,10,
2014-05-22,85,
2014-05-23,256,
2014-05-24,593,
2014-05-25,135,
2014-05-26,883,
2014-05-27,808,
2014-05-28,191,
2014-05-29,158,
2014-05-30,149,
2014-05-31,149,
2014-06-01,103,
2014-06-02,181,
2014-06-03,106,
2014-06-04,87,
2014-06-05,448,
2014-06-06,616,
2014-06-07,345,
2014-06-08,163,
2014-06-09,381,
2014-06-10,316,
2014-06-11,312,
2014-06-12,320,
2014-06-13,166,
2014-06-14,98,
2014-06-15,453,
2014-06-16,23,
2014-06-17,13,
2014-06-18,5,
2014-09-15,546,
2014-09-16,317,
2014-09-17,271,
2014-09-18,119,
2014-09-19,274,
2014-09-20,7,
2014-09-23,89,
2014-09-24,316,
2014-09-25,273,
2014-09-26,488,
2014-09-27,226,
2014-09-28,427,
2014-09-29,135,
2014-09-30,100,
2014-10-01,63,
2014-10-07,87,
2014-10-08,134,
2014-10-09,125,
