Date,Count,Unnamed: 0.1
2013-09-24,28,9.0
2013-09-25,20,8.0
2013-09-26,33,
2013-09-27,14,
2013-09-28,24,
2013-09-29,17,
2013-09-30,28,
2013-10-01,9,
2013-10-02,47,
2013-10-03,8,
2013-10-04,26,3.0
2013-10-05,47,2.0
2013-10-06,69,1.0
2013-10-07,44,0.0
2013-10-08,21,7.0
2013-10-09,30,6.0
2013-10-10,22,4.0
2013-10-11,18,5.0
2013-10-12,28,
2013-10-13,24,
2013-10-14,26,
2013-10-18,21,
2013-10-19,28,
2013-10-20,28,
2013-10-21,31,
2013-10-22,17,
2013-10-23,46,
2013-10-24,17,
2013-10-25,57,
2013-10-26,53,
2013-10-27,68,
2013-10-28,62,
2013-10-29,25,
2013-10-30,74,
2013-10-31,40,
2013-11-01,30,
2013-11-02,32,
2013-11-03,26,
2013-11-04,31,
2013-11-05,10,
2013-11-06,26,
2013-11-07,22,
2013-11-08,33,
2013-11-09,159,
2013-11-10,82,
2013-11-11,46,
2013-11-12,52,
2013-11-13,37,
2013-11-14,32,
2013-11-15,19,
2013-11-16,52,
2013-11-17,29,
2013-11-18,2,
2013-11-19,8,
2013-11-20,27,
2013-11-22,11,
2013-11-23,39,
2013-11-24,34,
2013-11-25,16,
2013-11-26,15,
2013-11-27,20,
2013-11-28,15,
2013-11-29,28,
2013-11-30,37,
2013-12-01,15,
2013-12-02,18,
2013-12-03,23,
2013-12-04,33,
2013-12-05,30,
2013-12-06,31,
2013-12-07,34,
2013-12-08,23,
2013-12-09,38,
2013-12-10,21,
2013-12-11,28,
2013-12-12,42,
2013-12-13,52,
2013-12-14,28,
2013-12-15,20,
2013-12-16,30,
2013-12-17,65,
2013-12-18,53,
2013-12-19,45,
2013-12-20,1,
2013-12-22,4,
2013-12-23,38,
2013-12-24,21,
2013-12-25,13,
2013-12-26,23,
2013-12-27,15,
2014-01-03,9,
2014-01-04,17,
2014-01-05,37,
2014-01-06,28,
2014-01-07,12,
2014-01-08,44,
2014-01-09,33,
2014-01-10,36,
2014-01-11,30,
2014-01-12,24,
2014-01-13,14,
2014-01-14,29,
2014-01-15,22,
2014-01-16,21,
2014-01-20,20,
2014-01-21,25,
2014-01-22,17,
2014-01-23,37,
2014-01-24,23,
2014-01-25,7,
2014-01-27,12,
2014-01-28,16,
2014-01-29,19,
2014-01-30,11,
2014-01-31,28,
2014-02-01,24,
2014-02-02,21,
2014-02-03,20,
2014-02-04,35,
2014-02-05,26,
2014-02-06,35,
2014-02-07,28,
2014-02-08,14,
2014-02-10,19,
2014-02-11,23,
2014-02-12,19,
2014-02-13,82,
2014-02-14,26,
2014-02-15,48,
2014-02-16,42,
2014-02-17,3,
2014-02-19,3,
2014-02-20,10,
2014-02-21,51,
2014-02-22,38,
2014-02-23,43,
2014-02-24,26,
2014-02-25,32,
2014-02-26,37,
2014-02-27,38,
2014-02-28,29,
2014-03-01,59,
2014-03-02,245,
2014-03-03,43,
2014-03-04,44,
2014-03-05,45,
2014-03-06,34,
2014-03-07,15,
2014-03-09,2,
2014-03-10,102,
2014-03-11,52,
2014-03-12,58,
2014-03-13,68,
2014-03-14,310,
2014-03-15,60,
2014-03-16,44,
2014-03-17,56,
2014-03-18,3,
2014-03-21,16,
2014-03-22,14,
2014-03-23,25,
2014-03-24,13,
2014-03-25,31,
2014-03-26,24,
2014-03-27,19,
2014-03-28,49,
2014-03-29,17,
2014-03-30,23,
2014-03-31,23,
2014-04-01,38,
2014-04-02,55,
2014-04-03,103,
2014-04-04,83,
2014-04-05,26,
2014-04-06,21,
2014-04-08,12,
2014-04-09,29,
2014-04-10,49,
2014-04-11,26,
2014-04-14,20,
2014-04-16,108,
2014-04-17,195,
2014-04-18,284,
2014-04-19,26,
2014-04-23,83,
2014-04-24,234,
2014-04-25,170,
2014-04-26,168,
2014-04-27,148,
2014-04-28,200,
2014-04-29,115,
2014-04-30,170,
2014-05-01,152,
2014-05-02,246,
2014-05-03,143,
2014-05-04,127,
2014-05-05,106,
2014-05-06,200,
2014-05-07,322,
2014-05-08,203,
2014-05-09,92,
2014-05-13,2,
2014-05-14,6,
2014-05-15,2,
2014-05-16,10,
2014-05-20,30,
2014-05-22,117,
2014-05-23,213,
2014-05-24,205,
2014-05-25,202,
2014-05-26,148,
2014-05-27,174,
2014-05-28,173,
2014-05-29,153,
2014-05-30,199,
2014-05-31,297,
2014-06-01,185,
2014-06-02,104,
2014-06-03,333,
2014-06-04,84,
2014-06-05,47,
2014-06-06,182,
2014-06-07,218,
2014-06-08,166,
2014-06-09,269,
2014-06-10,522,
2014-06-11,364,
2014-06-12,292,
2014-06-13,300,
2014-06-14,215,
2014-06-15,133,
2014-06-16,43,
2014-06-17,7,
2014-09-15,66,
2014-09-16,113,
2014-09-17,136,
2014-09-18,172,
2014-09-19,358,
2014-09-20,10,
2014-09-23,82,
2014-09-24,130,
2014-09-25,108,
2014-09-26,96,
2014-09-27,108,
2014-09-28,73,
2014-09-29,182,
2014-09-30,91,
2014-10-01,40,
2014-10-07,50,
2014-10-08,115,
2014-10-09,72,
