Date,Count,Unnamed: 0.1
2013-09-24,8,9.0
2013-09-25,9,8.0
2013-09-26,10,
2013-09-27,1,
2013-09-28,4,
2013-09-29,123,
2013-09-30,213,
2013-10-01,9,
2013-10-02,17,
2013-10-03,12,
2013-10-04,11,3.0
2013-10-05,15,2.0
2013-10-06,12,1.0
2013-10-07,11,0.0
2013-10-08,7,7.0
2013-10-09,11,6.0
2013-10-10,6,4.0
2013-10-11,7,5.0
2013-10-12,9,
2013-10-13,7,
2013-10-14,4,
2013-10-18,12,
2013-10-19,5,
2013-10-20,11,
2013-10-21,7,
2013-10-22,5,
2013-10-23,3,
2013-10-24,5,
2013-10-25,11,
2013-10-26,16,
2013-10-27,7,
2013-10-28,7,
2013-10-29,11,
2013-10-30,9,
2013-10-31,3,
2013-11-01,8,
2013-11-02,4,
2013-11-03,4,
2013-11-04,8,
2013-11-05,1,
2013-11-06,7,
2013-11-07,47,
2013-11-08,21,
2013-11-09,20,
2013-11-10,10,
2013-11-11,26,
2013-11-12,28,
2013-11-13,15,
2013-11-14,4,
2013-11-15,4,
2013-11-16,35,
2013-11-17,34,
2013-11-18,5,
2013-11-19,2,
2013-11-20,17,
2013-11-22,1,
2013-11-23,2,
2013-11-24,1,
2013-11-25,17,
2013-11-26,2,
2013-11-27,2,
2013-11-28,1,
2013-11-29,6,
2013-11-30,6,
2013-12-01,6,
2013-12-02,17,
2013-12-03,3,
2013-12-04,3,
2013-12-05,5,
2013-12-06,9,
2013-12-07,3,
2013-12-08,12,
2013-12-09,6,
2013-12-10,5,
2013-12-11,4,
2013-12-12,5,
2013-12-13,6,
2013-12-14,44,
2013-12-15,3,
2013-12-16,7,
2013-12-17,3,
2013-12-18,3,
2013-12-19,9,
2013-12-20,1,
2013-12-23,27,
2013-12-24,4,
2013-12-25,4,
2013-12-26,19,
2013-12-27,23,
2014-01-03,9,
2014-01-04,2,
2014-01-05,3,
2014-01-06,1,
2014-01-07,5,
2014-01-08,4,
2014-01-09,1,
2014-01-10,4,
2014-01-11,12,
2014-01-12,15,
2014-01-13,16,
2014-01-14,6,
2014-01-15,6,
2014-01-16,6,
2014-01-20,3,
2014-01-21,10,
2014-01-22,12,
2014-01-23,8,
2014-01-24,5,
2014-01-25,5,
2014-01-27,2,
2014-01-28,6,
2014-01-29,7,
2014-01-30,6,
2014-01-31,18,
2014-02-01,6,
2014-02-02,11,
2014-02-03,10,
2014-02-04,4,
2014-02-05,16,
2014-02-06,5,
2014-02-07,9,
2014-02-08,11,
2014-02-10,4,
2014-02-11,7,
2014-02-12,13,
2014-02-13,20,
2014-02-14,6,
2014-02-15,10,
2014-02-16,4,
2014-02-17,7,
2014-02-20,2,
2014-02-21,10,
2014-02-22,5,
2014-02-23,7,
2014-02-24,4,
2014-02-25,11,
2014-02-26,8,
2014-02-28,5,
2014-03-01,35,
2014-03-02,8,
2014-03-03,11,
2014-03-04,14,
2014-03-05,9,
2014-03-06,4,
2014-03-07,4,
2014-03-10,14,
2014-03-11,10,
2014-03-12,28,
2014-03-13,16,
2014-03-14,8,
2014-03-15,16,
2014-03-16,10,
2014-03-17,146,
2014-03-18,58,
2014-03-21,6,
2014-03-22,8,
2014-03-23,28,
2014-03-24,39,
2014-03-25,10,
2014-03-26,15,
2014-03-27,5,
2014-03-28,7,
2014-03-29,17,
2014-03-30,7,
2014-03-31,4,
2014-04-01,38,
2014-04-02,15,
2014-04-03,7,
2014-04-04,7,
2014-04-05,11,
2014-04-06,7,
2014-04-08,6,
2014-04-09,8,
2014-04-10,7,
2014-04-11,67,
2014-04-14,4,
2014-04-16,13,
2014-04-17,21,
2014-04-18,30,
2014-04-23,22,
2014-04-24,26,
2014-04-25,13,
2014-04-26,20,
2014-04-27,17,
2014-04-28,28,
2014-04-29,37,
2014-04-30,27,
2014-05-01,38,
2014-05-02,56,
2014-05-03,22,
2014-05-04,64,
2014-05-05,30,
2014-05-06,45,
2014-05-07,17,
2014-05-08,75,
2014-05-09,23,
2014-05-20,1,
2014-05-22,25,
2014-05-23,61,
2014-05-24,61,
2014-05-25,65,
2014-05-26,130,
2014-05-27,35,
2014-05-28,25,
2014-05-29,29,
2014-05-30,60,
2014-05-31,51,
2014-06-01,24,
2014-06-02,35,
2014-06-03,28,
2014-06-04,16,
2014-06-05,11,
2014-06-06,34,
2014-06-07,41,
2014-06-08,56,
2014-06-09,60,
2014-06-10,106,
2014-06-11,66,
2014-06-12,56,
2014-06-13,39,
2014-06-14,24,
2014-06-15,29,
2014-06-16,9,
2014-06-17,2,
2014-06-18,3,
2014-09-15,16,
2014-09-16,116,
2014-09-17,37,
2014-09-18,25,
2014-09-19,22,
2014-09-20,5,
2014-09-23,10,
2014-09-24,16,
2014-09-25,13,
2014-09-26,15,
2014-09-27,24,
2014-09-28,106,
2014-09-29,47,
2014-09-30,28,
2014-10-01,7,
2014-10-07,22,
2014-10-08,17,
2014-10-09,80,
2014-10-10,420,
2014-10-11,1098,
2014-10-14,11,
2014-10-15,11,
2014-10-16,52,
2014-10-17,8,
2014-10-18,19,
2014-10-19,11,
2014-10-21,21,
2014-10-22,61,
2014-10-23,12,
2014-10-24,3,
2014-10-25,14,
2014-10-26,10,
2014-10-27,16,
2014-10-28,3,
2014-10-29,7,
