Date,Count,Unnamed: 0.1
2013-09-24,38,9.0
2013-09-25,42,8.0
2013-09-26,22,
2013-09-27,15,
2013-09-28,101,
2013-09-29,108,
2013-09-30,31,
2013-10-01,12,
2013-10-02,15,
2013-10-03,7,
2013-10-04,11,3.0
2013-10-05,35,2.0
2013-10-06,55,1.0
2013-10-07,38,0.0
2013-10-08,29,7.0
2013-10-09,42,6.0
2013-10-10,18,4.0
2013-10-11,19,5.0
2013-10-12,29,
2013-10-13,16,
2013-10-14,22,
2013-10-15,1,
2013-10-18,59,
2013-10-19,24,
2013-10-20,53,
2013-10-21,77,
2013-10-22,92,
2013-10-23,47,
2013-10-24,22,
2013-10-25,84,
2013-10-26,32,
2013-10-27,39,
2013-10-28,64,
2013-10-29,37,
2013-10-30,39,
2013-10-31,32,
2013-11-01,50,
2013-11-02,24,
2013-11-03,14,
2013-11-04,21,
2013-11-05,30,
2013-11-06,31,
2013-11-07,36,
2013-11-08,80,
2013-11-09,47,
2013-11-10,36,
2013-11-11,26,
2013-11-12,45,
2013-11-13,17,
2013-11-14,115,
2013-11-15,8,
2013-11-16,46,
2013-11-17,12,
2013-11-18,5,
2013-11-19,9,
2013-11-20,33,
2013-11-22,3,
2013-11-23,21,
2013-11-24,42,
2013-11-25,66,
2013-11-26,14,
2013-11-27,8,
2013-11-28,33,
2013-11-29,23,
2013-11-30,49,
2013-12-01,23,
2013-12-02,27,
2013-12-03,118,
2013-12-04,32,
2013-12-05,21,
2013-12-06,55,
2013-12-07,319,
2013-12-08,45,
2013-12-09,29,
2013-12-10,38,
2013-12-11,38,
2013-12-12,23,
2013-12-13,32,
2013-12-14,29,
2013-12-15,136,
2013-12-16,25,
2013-12-17,35,
2013-12-18,39,
2013-12-19,42,
2013-12-23,20,
2013-12-24,32,
2013-12-25,38,
2013-12-26,25,
2013-12-27,13,
2014-01-03,17,
2014-01-04,17,
2014-01-05,10,
2014-01-06,26,
2014-01-07,16,
2014-01-08,14,
2014-01-09,11,
2014-01-10,36,
2014-01-11,26,
2014-01-12,16,
2014-01-13,31,
2014-01-14,51,
2014-01-15,47,
2014-01-16,30,
2014-01-20,20,
2014-01-21,41,
2014-01-22,31,
2014-01-23,27,
2014-01-24,29,
2014-01-25,8,
2014-01-27,10,
2014-01-28,8,
2014-01-29,22,
2014-01-30,34,
2014-01-31,26,
2014-02-01,30,
2014-02-02,23,
2014-02-03,20,
2014-02-04,15,
2014-02-05,40,
2014-02-06,29,
2014-02-07,24,
2014-02-08,16,
2014-02-10,24,
2014-02-11,25,
2014-02-12,35,
2014-02-13,32,
2014-02-14,17,
2014-02-15,26,
2014-02-16,30,
2014-02-17,6,
2014-02-20,12,
2014-02-21,86,
2014-02-22,51,
2014-02-23,37,
2014-02-24,29,
2014-02-25,84,
2014-02-26,25,
2014-02-27,3,
2014-02-28,12,
2014-03-01,31,
2014-03-02,36,
2014-03-03,16,
2014-03-04,21,
2014-03-05,33,
2014-03-06,20,
2014-03-07,61,
2014-03-09,2,
2014-03-10,52,
2014-03-11,62,
2014-03-12,48,
2014-03-13,38,
2014-03-14,30,
2014-03-15,56,
2014-03-16,30,
2014-03-17,62,
2014-03-18,3,
2014-03-21,22,
2014-03-22,89,
2014-03-23,60,
2014-03-24,21,
2014-03-25,13,
2014-03-26,22,
2014-03-27,43,
2014-03-28,18,
2014-03-29,12,
2014-03-30,19,
2014-03-31,85,
2014-04-01,77,
2014-04-02,25,
2014-04-03,37,
2014-04-04,14,
2014-04-05,21,
2014-04-06,43,
2014-04-08,14,
2014-04-09,16,
2014-04-10,26,
2014-04-11,17,
2014-04-14,360,
2014-04-16,131,
2014-04-17,124,
2014-04-18,165,
2014-04-19,19,
2014-04-23,475,
2014-04-24,198,
2014-04-25,133,
2014-04-26,92,
2014-04-27,242,
2014-04-28,104,
2014-04-29,157,
2014-04-30,230,
2014-05-01,117,
2014-05-02,90,
2014-05-03,245,
2014-05-04,357,
2014-05-05,160,
2014-05-06,76,
2014-05-07,64,
2014-05-08,240,
2014-05-09,119,
2014-05-13,4,
2014-05-14,4,
2014-05-16,12,
2014-05-17,2,
2014-05-20,5,
2014-05-22,104,
2014-05-23,185,
2014-05-24,166,
2014-05-25,173,
2014-05-26,99,
2014-05-27,238,
2014-05-28,195,
2014-05-29,100,
2014-05-30,56,
2014-05-31,72,
2014-06-01,154,
2014-06-02,251,
2014-06-03,119,
2014-06-04,71,
2014-06-05,69,
2014-06-06,187,
2014-06-07,121,
2014-06-08,400,
2014-06-09,185,
2014-06-10,254,
2014-06-11,1024,
2014-06-12,322,
2014-06-13,230,
2014-06-14,248,
2014-06-15,65,
2014-06-16,22,
2014-06-17,5,
2014-06-18,1,
2014-09-15,48,
2014-09-16,107,
2014-09-17,85,
2014-09-18,107,
2014-09-19,66,
2014-09-20,4,
2014-09-23,56,
2014-09-24,104,
2014-09-25,174,
2014-09-26,107,
2014-09-27,415,
2014-09-28,423,
2014-09-29,464,
2014-09-30,258,
2014-10-01,301,
2014-10-07,72,
2014-10-08,87,
2014-10-09,65,
