Date,Count,Unnamed: 0.1
2013-09-24,10,9.0
2013-09-25,8,8.0
2013-09-26,46,
2013-09-27,4,
2013-09-28,10,
2013-09-29,7,
2013-09-30,10,
2013-10-01,12,
2013-10-02,11,
2013-10-03,5,
2013-10-04,24,3.0
2013-10-05,24,2.0
2013-10-06,15,1.0
2013-10-07,12,0.0
2013-10-08,9,7.0
2013-10-09,8,6.0
2013-10-10,20,4.0
2013-10-11,14,5.0
2013-10-12,11,
2013-10-13,19,
2013-10-14,37,
2013-10-18,23,
2013-10-19,24,
2013-10-20,34,
2013-10-21,88,
2013-10-22,16,
2013-10-23,14,
2013-10-24,2,
2013-10-25,32,
2013-10-26,8,
2013-10-27,30,
2013-10-28,10,
2013-10-29,6,
2013-10-30,11,
2013-10-31,10,
2013-11-01,9,
2013-11-02,11,
2013-11-03,17,
2013-11-04,22,
2013-11-05,2,
2013-11-06,5,
2013-11-07,7,
2013-11-08,11,
2013-11-09,8,
2013-11-10,11,
2013-11-11,12,
2013-11-12,21,
2013-11-13,81,
2013-11-14,111,
2013-11-15,22,
2013-11-16,22,
2013-11-17,15,
2013-11-19,3,
2013-11-20,35,
2013-11-22,2,
2013-11-23,12,
2013-11-24,12,
2013-11-25,41,
2013-11-26,8,
2013-11-27,9,
2013-11-28,7,
2013-11-29,8,
2013-11-30,22,
2013-12-01,9,
2013-12-02,9,
2013-12-03,2,
2013-12-04,21,
2013-12-05,17,
2013-12-06,9,
2013-12-07,10,
2013-12-08,4,
2013-12-09,9,
2013-12-10,9,
2013-12-11,12,
2013-12-12,11,
2013-12-13,11,
2013-12-14,5,
2013-12-15,6,
2013-12-16,11,
2013-12-17,5,
2013-12-18,11,
2013-12-19,9,
2013-12-22,1,
2013-12-23,15,
2013-12-24,6,
2013-12-25,7,
2013-12-26,4,
2013-12-27,1,
2014-01-03,5,
2014-01-04,1,
2014-01-05,3,
2014-01-06,7,
2014-01-07,9,
2014-01-08,7,
2014-01-09,4,
2014-01-10,7,
2014-01-11,5,
2014-01-12,8,
2014-01-13,20,
2014-01-14,15,
2014-01-15,10,
2014-01-16,5,
2014-01-20,2,
2014-01-21,12,
2014-01-22,9,
2014-01-23,13,
2014-01-24,4,
2014-01-27,18,
2014-01-28,17,
2014-01-29,3,
2014-01-30,10,
2014-01-31,9,
2014-02-01,14,
2014-02-02,4,
2014-02-03,7,
2014-02-04,25,
2014-02-05,51,
2014-02-06,12,
2014-02-07,15,
2014-02-08,11,
2014-02-10,6,
2014-02-11,4,
2014-02-12,6,
2014-02-13,11,
2014-02-14,3,
2014-02-15,10,
2014-02-16,4,
2014-02-17,1,
2014-02-20,2,
2014-02-21,265,
2014-02-22,42,
2014-02-23,28,
2014-02-24,15,
2014-02-25,34,
2014-02-26,12,
2014-02-27,2,
2014-02-28,10,
2014-03-01,5,
2014-03-02,16,
2014-03-03,12,
2014-03-04,75,
2014-03-05,43,
2014-03-06,17,
2014-03-07,46,
2014-03-09,4,
2014-03-10,24,
2014-03-11,74,
2014-03-12,48,
2014-03-13,32,
2014-03-14,40,
2014-03-15,18,
2014-03-16,14,
2014-03-17,14,
2014-03-18,20,
2014-03-21,10,
2014-03-22,17,
2014-03-23,8,
2014-03-24,7,
2014-03-25,6,
2014-03-26,22,
2014-03-27,13,
2014-03-28,11,
2014-03-29,5,
2014-03-30,6,
2014-03-31,13,
2014-04-01,18,
2014-04-02,18,
2014-04-03,14,
2014-04-04,9,
2014-04-05,7,
2014-04-06,6,
2014-04-08,8,
2014-04-09,11,
2014-04-10,7,
2014-04-11,4,
2014-04-14,16,
2014-04-16,45,
2014-04-17,74,
2014-04-18,43,
2014-04-23,31,
2014-04-24,88,
2014-04-25,77,
2014-04-26,104,
2014-04-27,74,
2014-04-28,69,
2014-04-29,327,
2014-04-30,80,
2014-05-01,52,
2014-05-02,64,
2014-05-03,80,
2014-05-04,125,
2014-05-05,92,
2014-05-06,62,
2014-05-07,87,
2014-05-08,82,
2014-05-09,26,
2014-05-14,2,
2014-05-20,6,
2014-05-22,69,
2014-05-23,85,
2014-05-24,78,
2014-05-25,79,
2014-05-26,244,
2014-05-27,134,
2014-05-28,75,
2014-05-29,110,
2014-05-30,35,
2014-05-31,50,
2014-06-01,48,
2014-06-02,49,
2014-06-03,60,
2014-06-04,47,
2014-06-05,60,
2014-06-06,98,
2014-06-07,64,
2014-06-08,62,
2014-06-09,66,
2014-06-10,140,
2014-06-11,100,
2014-06-12,94,
2014-06-13,73,
2014-06-14,44,
2014-06-15,30,
2014-06-16,16,
2014-06-17,5,
2014-06-18,1,
2014-09-15,37,
2014-09-16,47,
2014-09-17,33,
2014-09-18,32,
2014-09-19,77,
2014-09-20,4,
2014-09-23,57,
2014-09-24,29,
2014-09-25,26,
2014-09-26,71,
2014-09-27,82,
2014-09-28,62,
2014-09-29,44,
2014-09-30,39,
2014-10-01,22,
2014-10-07,86,
2014-10-08,86,
2014-10-09,308,
2014-10-10,130,
2014-10-11,166,
2014-10-14,118,
2014-10-15,299,
2014-10-16,162,
2014-10-17,96,
2014-10-18,87,
2014-10-19,61,
2014-10-21,48,
2014-10-22,127,
2014-10-23,52,
2014-10-24,13,
2014-10-25,315,
2014-10-26,15,
2014-10-27,28,
2014-10-28,30,
2014-10-29,16,
