Date,Count,Unnamed: 0.1
2013-09-24,30,9.0
2013-09-25,22,8.0
2013-09-26,11,
2013-09-27,13,
2013-09-28,21,
2013-09-29,16,
2013-09-30,11,
2013-10-01,4,
2013-10-02,13,
2013-10-03,8,
2013-10-04,7,3.0
2013-10-05,9,2.0
2013-10-06,12,1.0
2013-10-07,32,0.0
2013-10-08,23,7.0
2013-10-09,13,6.0
2013-10-10,11,4.0
2013-10-11,27,5.0
2013-10-12,25,
2013-10-13,9,
2013-10-14,9,
2013-10-15,2,
2013-10-18,9,
2013-10-19,10,
2013-10-20,11,
2013-10-21,21,
2013-10-22,24,
2013-10-23,25,
2013-10-24,5,
2013-10-25,18,
2013-10-26,13,
2013-10-27,12,
2013-10-28,11,
2013-10-29,7,
2013-10-30,18,
2013-10-31,6,
2013-11-01,28,
2013-11-02,22,
2013-11-03,9,
2013-11-04,106,
2013-11-05,5,
2013-11-06,53,
2013-11-07,26,
2013-11-08,21,
2013-11-09,24,
2013-11-10,26,
2013-11-11,13,
2013-11-12,29,
2013-11-13,21,
2013-11-14,12,
2013-11-15,10,
2013-11-16,57,
2013-11-17,29,
2013-11-18,2,
2013-11-19,19,
2013-11-20,19,
2013-11-22,3,
2013-11-23,21,
2013-11-24,85,
2013-11-25,31,
2013-11-26,27,
2013-11-27,10,
2013-11-28,241,
2013-11-29,28,
2013-11-30,39,
2013-12-01,36,
2013-12-02,14,
2013-12-03,8,
2013-12-04,15,
2013-12-05,18,
2013-12-06,18,
2013-12-07,16,
2013-12-08,11,
2013-12-09,37,
2013-12-10,17,
2013-12-11,33,
2013-12-12,82,
2013-12-13,40,
2013-12-14,25,
2013-12-15,43,
2013-12-16,15,
2013-12-17,19,
2013-12-18,11,
2013-12-19,9,
2013-12-22,1,
2013-12-23,14,
2013-12-24,34,
2013-12-25,9,
2013-12-26,9,
2013-12-27,67,
2014-01-03,9,
2014-01-04,19,
2014-01-05,15,
2014-01-06,68,
2014-01-07,16,
2014-01-08,10,
2014-01-09,14,
2014-01-10,58,
2014-01-11,25,
2014-01-12,13,
2014-01-13,17,
2014-01-14,93,
2014-01-15,23,
2014-01-16,111,
2014-01-20,23,
2014-01-21,124,
2014-01-22,98,
2014-01-23,21,
2014-01-24,19,
2014-01-25,6,
2014-01-27,20,
2014-01-28,20,
2014-01-29,53,
2014-01-30,20,
2014-01-31,89,
2014-02-01,52,
2014-02-02,67,
2014-02-03,66,
2014-02-04,56,
2014-02-05,21,
2014-02-06,26,
2014-02-07,18,
2014-02-08,7,
2014-02-10,37,
2014-02-11,39,
2014-02-12,19,
2014-02-13,34,
2014-02-14,9,
2014-02-15,8,
2014-02-16,18,
2014-02-17,2,
2014-02-20,11,
2014-02-21,36,
2014-02-22,21,
2014-02-23,14,
2014-02-24,64,
2014-02-25,31,
2014-02-26,6,
2014-02-27,1,
2014-02-28,17,
2014-03-01,22,
2014-03-02,110,
2014-03-03,27,
2014-03-04,36,
2014-03-05,17,
2014-03-06,44,
2014-03-07,19,
2014-03-09,14,
2014-03-10,142,
2014-03-11,104,
2014-03-12,64,
2014-03-13,16,
2014-03-14,170,
2014-03-15,170,
2014-03-16,60,
2014-03-17,24,
2014-03-18,5,
2014-03-21,26,
2014-03-22,32,
2014-03-23,95,
2014-03-24,43,
2014-03-25,72,
2014-03-26,30,
2014-03-27,35,
2014-03-28,27,
2014-03-29,20,
2014-03-30,59,
2014-03-31,69,
2014-04-01,30,
2014-04-02,76,
2014-04-03,35,
2014-04-04,25,
2014-04-05,15,
2014-04-06,26,
2014-04-08,18,
2014-04-09,21,
2014-04-10,82,
2014-04-11,19,
2014-04-14,26,
2014-04-16,21,
2014-04-17,282,
2014-04-18,57,
2014-04-19,106,
2014-04-23,53,
2014-04-24,275,
2014-04-25,154,
2014-04-26,96,
2014-04-27,55,
2014-04-28,51,
2014-04-29,56,
2014-04-30,132,
2014-05-01,301,
2014-05-02,143,
2014-05-03,60,
2014-05-04,52,
2014-05-05,44,
2014-05-06,585,
2014-05-07,124,
2014-05-08,225,
2014-05-09,35,
2014-05-14,12,
2014-05-20,5,
2014-05-22,167,
2014-05-23,125,
2014-05-24,67,
2014-05-25,45,
2014-05-26,46,
2014-05-27,68,
2014-05-28,221,
2014-05-29,74,
2014-05-30,192,
2014-05-31,194,
2014-06-01,86,
2014-06-02,161,
2014-06-03,47,
2014-06-04,36,
2014-06-05,177,
2014-06-06,111,
2014-06-07,76,
2014-06-08,47,
2014-06-09,98,
2014-06-10,112,
2014-06-11,100,
2014-06-12,82,
2014-06-13,121,
2014-06-14,50,
2014-06-15,42,
2014-06-16,18,
2014-06-17,2,
2014-09-15,41,
2014-09-16,53,
2014-09-17,52,
2014-09-18,45,
2014-09-19,64,
2014-09-20,11,
2014-09-21,1,
2014-09-23,46,
2014-09-24,59,
2014-09-25,93,
2014-09-26,74,
2014-09-27,79,
2014-09-28,98,
2014-09-29,54,
2014-09-30,50,
2014-10-01,25,
2014-10-07,54,
2014-10-08,94,
2014-10-09,84,
2014-10-10,126,
2014-10-11,141,
2014-10-14,67,
2014-10-15,77,
2014-10-16,100,
2014-10-17,166,
2014-10-18,148,
2014-10-19,78,
2014-10-21,55,
2014-10-22,108,
2014-10-23,79,
2014-10-24,17,
2014-10-25,35,
2014-10-26,26,
2014-10-27,34,
2014-10-28,37,
2014-10-29,11,
