Date,Count,Unnamed: 0.1
2013-09-24,28,9.0
2013-09-25,78,8.0
2013-09-26,153,
2013-09-27,43,
2013-09-28,84,
2013-09-29,74,
2013-09-30,56,
2013-10-01,18,
2013-10-02,69,
2013-10-03,183,
2013-10-04,975,3.0
2013-10-05,476,2.0
2013-10-06,178,1.0
2013-10-07,136,0.0
2013-10-08,66,7.0
2013-10-09,67,6.0
2013-10-10,79,4.0
2013-10-11,64,5.0
2013-10-12,35,
2013-10-13,39,
2013-10-14,66,
2013-10-15,2,
2013-10-18,39,
2013-10-19,60,
2013-10-20,44,
2013-10-21,81,
2013-10-22,45,
2013-10-23,46,
2013-10-24,24,
2013-10-25,35,
2013-10-26,91,
2013-10-27,34,
2013-10-28,29,
2013-10-29,161,
2013-10-30,328,
2013-10-31,261,
2013-11-01,33,
2013-11-02,50,
2013-11-03,31,
2013-11-04,31,
2013-11-05,3,
2013-11-06,42,
2013-11-07,48,
2013-11-08,46,
2013-11-09,45,
2013-11-10,35,
2013-11-11,57,
2013-11-12,104,
2013-11-13,178,
2013-11-14,87,
2013-11-15,177,
2013-11-16,295,
2013-11-17,453,
2013-11-18,5,
2013-11-19,183,
2013-11-20,113,
2013-11-22,52,
2013-11-23,145,
2013-11-24,60,
2013-11-25,54,
2013-11-26,49,
2013-11-27,32,
2013-11-28,206,
2013-11-29,90,
2013-11-30,93,
2013-12-01,99,
2013-12-02,105,
2013-12-03,34,
2013-12-04,72,
2013-12-05,42,
2013-12-06,44,
2013-12-07,31,
2013-12-08,64,
2013-12-09,55,
2013-12-10,47,
2013-12-11,45,
2013-12-12,157,
2013-12-13,103,
2013-12-14,49,
2013-12-15,64,
2013-12-16,207,
2013-12-17,286,
2013-12-18,441,
2013-12-19,120,
2013-12-20,2,
2013-12-22,2,
2013-12-23,56,
2013-12-24,31,
2013-12-25,11,
2013-12-26,48,
2013-12-27,30,
2014-01-03,24,
2014-01-04,63,
2014-01-05,59,
2014-01-06,59,
2014-01-07,49,
2014-01-08,556,
2014-01-09,60,
2014-01-10,40,
2014-01-11,38,
2014-01-12,42,
2014-01-13,76,
2014-01-14,117,
2014-01-15,74,
2014-01-16,51,
2014-01-20,48,
2014-01-21,49,
2014-01-22,59,
2014-01-23,43,
2014-01-24,34,
2014-01-25,7,
2014-01-27,64,
2014-01-28,50,
2014-01-29,52,
2014-01-30,24,
2014-01-31,31,
2014-02-01,66,
2014-02-02,64,
2014-02-03,88,
2014-02-04,64,
2014-02-05,41,
2014-02-06,61,
2014-02-07,63,
2014-02-08,38,
2014-02-10,64,
2014-02-11,122,
2014-02-12,67,
2014-02-13,78,
2014-02-14,46,
2014-02-15,45,
2014-02-16,67,
2014-02-17,7,
2014-02-19,16,
2014-02-20,483,
2014-02-21,89,
2014-02-22,93,
2014-02-23,86,
2014-02-24,66,
2014-02-25,104,
2014-02-26,64,
2014-02-27,14,
2014-02-28,21,
2014-03-01,43,
2014-03-02,94,
2014-03-03,52,
2014-03-04,54,
2014-03-05,102,
2014-03-06,154,
2014-03-07,107,
2014-03-09,32,
2014-03-10,342,
2014-03-11,172,
2014-03-12,152,
2014-03-13,238,
2014-03-14,202,
2014-03-15,112,
2014-03-16,112,
2014-03-17,292,
2014-03-18,120,
2014-03-21,141,
2014-03-22,191,
2014-03-23,437,
2014-03-24,242,
2014-03-25,159,
2014-03-26,225,
2014-03-27,166,
2014-03-28,63,
2014-03-29,98,
2014-03-30,236,
2014-03-31,116,
2014-04-01,83,
2014-04-02,107,
2014-04-03,107,
2014-04-04,83,
2014-04-05,50,
2014-04-06,73,
2014-04-08,71,
2014-04-09,61,
2014-04-10,94,
2014-04-11,61,
2014-04-14,46,
2014-04-16,86,
2014-04-17,185,
2014-04-18,158,
2014-04-19,26,
2014-04-23,211,
2014-04-24,203,
2014-04-25,1353,
2014-04-26,396,
2014-04-27,330,
2014-04-28,568,
2014-04-29,334,
2014-04-30,210,
2014-05-01,242,
2014-05-02,754,
2014-05-03,1010,
2014-05-04,259,
2014-05-05,244,
2014-05-06,243,
2014-05-07,179,
2014-05-08,172,
2014-05-09,108,
2014-05-13,2,
2014-05-14,20,
2014-05-15,4,
2014-05-17,2,
2014-05-20,44,
2014-05-22,246,
2014-05-23,232,
2014-05-24,326,
2014-05-25,288,
2014-05-26,306,
2014-05-27,1054,
2014-05-28,863,
2014-05-29,510,
2014-05-30,340,
2014-05-31,998,
2014-06-01,3399,
2014-06-02,2574,
2014-06-03,1036,
2014-06-04,320,
2014-06-05,112,
2014-06-06,385,
2014-06-07,864,
2014-06-08,636,
2014-06-09,936,
2014-06-10,766,
2014-06-11,502,
2014-06-12,1996,
2014-06-13,958,
2014-06-14,412,
2014-06-15,401,
2014-06-16,37,
2014-06-17,10,
2014-06-18,2,
2014-09-15,620,
2014-09-16,828,
2014-09-17,633,
2014-09-18,518,
2014-09-19,485,
2014-09-20,9,
2014-09-22,1,
2014-09-23,580,
2014-09-24,777,
2014-09-25,1513,
2014-09-26,1268,
2014-09-27,1120,
2014-09-28,646,
2014-09-29,207,
2014-09-30,187,
2014-10-01,240,
2014-10-07,254,
2014-10-08,301,
2014-10-09,273,
2014-10-10,373,
2014-10-11,266,
2014-10-14,307,
2014-10-15,358,
2014-10-16,1010,
2014-10-17,748,
2014-10-18,382,
2014-10-19,331,
2014-10-21,353,
2014-10-22,595,
2014-10-23,340,
2014-10-24,270,
2014-10-25,188,
2014-10-26,147,
2014-10-27,202,
2014-10-28,213,
2014-10-29,144,
