Date,Count,Unnamed: 0.1
2013-09-24,48,9.0
2013-09-25,70,8.0
2013-09-26,77,
2013-09-27,42,
2013-09-28,75,
2013-09-29,76,
2013-09-30,70,
2013-10-01,35,
2013-10-02,57,
2013-10-03,26,
2013-10-04,35,3.0
2013-10-05,73,2.0
2013-10-06,86,1.0
2013-10-07,69,0.0
2013-10-08,106,7.0
2013-10-09,44,6.0
2013-10-10,110,4.0
2013-10-11,76,5.0
2013-10-12,65,
2013-10-13,62,
2013-10-14,57,
2013-10-15,3,
2013-10-18,47,
2013-10-19,97,
2013-10-20,46,
2013-10-21,65,
2013-10-22,51,
2013-10-23,57,
2013-10-24,9,
2013-10-25,49,
2013-10-26,49,
2013-10-27,88,
2013-10-28,57,
2013-10-29,40,
2013-10-30,47,
2013-10-31,70,
2013-11-01,51,
2013-11-02,49,
2013-11-03,37,
2013-11-04,37,
2013-11-05,13,
2013-11-06,67,
2013-11-07,101,
2013-11-08,256,
2013-11-09,54,
2013-11-10,57,
2013-11-11,34,
2013-11-12,53,
2013-11-13,73,
2013-11-14,93,
2013-11-15,29,
2013-11-16,65,
2013-11-17,51,
2013-11-18,5,
2013-11-19,7,
2013-11-20,54,
2013-11-22,46,
2013-11-23,115,
2013-11-24,84,
2013-11-25,58,
2013-11-26,59,
2013-11-27,24,
2013-11-28,61,
2013-11-29,283,
2013-11-30,165,
2013-12-01,154,
2013-12-02,102,
2013-12-03,30,
2013-12-04,68,
2013-12-05,57,
2013-12-06,86,
2013-12-07,40,
2013-12-08,143,
2013-12-09,56,
2013-12-10,64,
2013-12-11,74,
2013-12-12,43,
2013-12-13,54,
2013-12-14,287,
2013-12-15,112,
2013-12-16,53,
2013-12-17,43,
2013-12-18,53,
2013-12-19,146,
2013-12-20,5,
2013-12-22,2,
2013-12-23,104,
2013-12-24,70,
2013-12-25,87,
2013-12-26,117,
2013-12-27,38,
2014-01-03,51,
2014-01-04,64,
2014-01-05,50,
2014-01-06,62,
2014-01-07,163,
2014-01-08,74,
2014-01-09,52,
2014-01-10,52,
2014-01-11,145,
2014-01-12,104,
2014-01-13,162,
2014-01-14,104,
2014-01-15,74,
2014-01-16,52,
2014-01-20,22,
2014-01-21,72,
2014-01-22,178,
2014-01-23,101,
2014-01-24,116,
2014-01-25,13,
2014-01-27,31,
2014-01-28,60,
2014-01-29,59,
2014-01-30,42,
2014-01-31,43,
2014-02-01,56,
2014-02-02,34,
2014-02-03,52,
2014-02-04,40,
2014-02-05,92,
2014-02-06,56,
2014-02-07,51,
2014-02-08,32,
2014-02-10,16,
2014-02-11,41,
2014-02-12,28,
2014-02-13,114,
2014-02-14,111,
2014-02-15,78,
2014-02-16,56,
2014-02-17,30,
2014-02-19,3,
2014-02-20,33,
2014-02-21,675,
2014-02-22,53,
2014-02-23,211,
2014-02-24,94,
2014-02-25,64,
2014-02-26,32,
2014-02-27,22,
2014-02-28,118,
2014-03-01,107,
2014-03-02,122,
2014-03-03,51,
2014-03-04,79,
2014-03-05,266,
2014-03-06,721,
2014-03-07,103,
2014-03-09,28,
2014-03-10,238,
2014-03-11,170,
2014-03-12,154,
2014-03-13,182,
2014-03-14,260,
2014-03-15,250,
2014-03-16,186,
2014-03-17,160,
2014-03-18,17,
2014-03-21,29,
2014-03-22,72,
2014-03-23,50,
2014-03-24,81,
2014-03-25,173,
2014-03-26,403,
2014-03-27,131,
2014-03-28,149,
2014-03-29,77,
2014-03-30,56,
2014-03-31,156,
2014-04-01,140,
2014-04-02,197,
2014-04-03,64,
2014-04-04,63,
2014-04-05,61,
2014-04-06,345,
2014-04-08,105,
2014-04-09,94,
2014-04-10,165,
2014-04-11,89,
2014-04-14,48,
2014-04-16,189,
2014-04-17,479,
2014-04-18,429,
2014-04-19,549,
2014-04-23,322,
2014-04-24,600,
2014-04-25,709,
2014-04-26,941,
2014-04-27,1459,
2014-04-28,1750,
2014-04-29,1547,
2014-04-30,582,
2014-05-01,361,
2014-05-02,307,
2014-05-03,498,
2014-05-04,681,
2014-05-05,414,
2014-05-06,248,
2014-05-07,601,
2014-05-08,366,
2014-05-09,476,
2014-05-10,1,
2014-05-11,1,
2014-05-13,10,
2014-05-14,30,
2014-05-16,16,
2014-05-17,2,
2014-05-18,2,
2014-05-19,2,
2014-05-20,27,
2014-05-22,156,
2014-05-23,257,
2014-05-24,343,
2014-05-25,197,
2014-05-26,155,
2014-05-27,286,
2014-05-28,276,
2014-05-29,312,
2014-05-30,504,
2014-05-31,439,
2014-06-01,360,
2014-06-02,407,
2014-06-03,338,
2014-06-04,271,
2014-06-05,83,
2014-06-06,348,
2014-06-07,660,
2014-06-08,503,
2014-06-09,954,
2014-06-10,758,
2014-06-11,638,
2014-06-12,688,
2014-06-13,894,
2014-06-14,495,
2014-06-15,457,
2014-06-16,84,
2014-06-17,15,
2014-09-15,129,
2014-09-16,276,
2014-09-17,1945,
2014-09-18,320,
2014-09-19,228,
2014-09-20,26,
2014-09-23,172,
2014-09-24,246,
2014-09-25,329,
2014-09-26,439,
2014-09-27,276,
2014-09-28,667,
2014-09-29,410,
2014-09-30,141,
2014-10-01,86,
2014-10-07,190,
2014-10-08,1323,
2014-10-09,278,
