Date,Count,Unnamed: 0.1
2013-09-25,2,3.0
2013-09-27,2,
2013-09-29,3,
2013-09-30,5,
2013-10-01,6,
2013-10-02,3,
2013-10-04,4,2.0
2013-10-10,2,0.0
2013-10-11,3,1.0
2013-10-12,1,
2013-10-13,1,
2013-10-19,1,
2013-10-21,4,
2013-10-22,3,
2013-10-23,6,
2013-10-26,1,
2013-10-28,1,
2013-10-29,12,
2013-10-30,2,
2013-10-31,3,
2013-11-01,1,
2013-11-02,2,
2013-11-09,1,
2013-11-10,1,
2013-11-11,6,
2013-11-12,3,
2013-11-13,1,
2013-11-16,1,
2013-11-19,1,
2013-11-20,5,
2013-11-23,1,
2013-11-24,19,
2013-11-25,2,
2013-11-26,3,
2013-11-28,1,
2013-11-30,1,
2013-12-01,5,
2013-12-02,4,
2013-12-03,1,
2013-12-04,2,
2013-12-06,1,
2013-12-09,3,
2013-12-10,2,
2013-12-11,1,
2013-12-12,24,
2013-12-13,1,
2013-12-14,2,
2013-12-17,1,
2013-12-19,1,
2013-12-23,31,
2013-12-24,2,
2013-12-25,2,
2013-12-27,1,
2014-01-10,7,
2014-01-11,1,
2014-01-20,35,
2014-01-21,7,
2014-01-22,5,
2014-01-23,12,
2014-01-24,1,
2014-01-27,9,
2014-01-28,8,
2014-01-29,1,
2014-01-30,3,
2014-01-31,1,
2014-02-01,1,
2014-02-02,1,
2014-02-03,69,
2014-02-04,107,
2014-02-05,18,
2014-02-06,7,
2014-02-07,11,
2014-02-08,12,
2014-02-11,3,
2014-02-12,1,
2014-02-13,8,
2014-02-14,4,
2014-02-16,40,
2014-02-17,9,
2014-02-21,11,
2014-02-22,36,
2014-02-25,4,
2014-02-28,1,
2014-03-01,1,
2014-03-02,1,
2014-03-06,5,
2014-03-07,1,
2014-03-10,6,
2014-03-12,3,
2014-03-13,6,
2014-03-14,9,
2014-03-15,6,
2014-03-16,6,
2014-03-18,1,
2014-03-22,1,
2014-03-25,14,
2014-03-26,5,
2014-03-27,6,
2014-03-28,6,
2014-03-29,6,
2014-03-30,2,
2014-03-31,2,
2014-04-02,1,
2014-04-03,6,
2014-04-04,35,
2014-04-05,6,
2014-04-06,4,
2014-04-08,17,
2014-04-09,4,
2014-04-10,3,
2014-04-11,2,
2014-04-16,3,
2014-04-17,20,
2014-04-18,25,
2014-04-23,3,
2014-04-24,6,
2014-04-25,6,
2014-04-26,4,
2014-04-27,28,
2014-04-28,17,
2014-04-29,14,
2014-04-30,10,
2014-05-01,3,
2014-05-02,9,
2014-05-04,11,
2014-05-05,15,
2014-05-06,11,
2014-05-07,8,
2014-05-08,7,
2014-05-22,7,
2014-05-23,9,
2014-05-24,35,
2014-05-25,9,
2014-05-26,32,
2014-05-27,13,
2014-05-28,18,
2014-05-29,25,
2014-05-30,36,
2014-05-31,107,
2014-06-01,30,
2014-06-02,14,
2014-06-03,22,
2014-06-04,5,
2014-06-05,8,
2014-06-06,2,
2014-06-08,39,
2014-06-09,6,
2014-06-10,14,
2014-06-11,28,
2014-06-12,8,
2014-06-13,5,
2014-06-14,1,
2014-06-15,105,
2014-06-16,6,
2014-06-17,7,
2014-09-15,21,
2014-09-16,12,
2014-09-17,150,
2014-09-18,33,
2014-09-19,14,
2014-09-20,21,
2014-09-23,6,
2014-09-24,65,
2014-09-25,13,
2014-09-26,10,
2014-09-27,16,
2014-09-28,33,
2014-09-29,622,
2014-09-30,136,
2014-10-01,30,
2014-10-07,3,
2014-10-08,2,
2014-10-09,20,
2014-10-10,15,
2014-10-11,51,
2014-10-15,2,
2014-10-16,2,
2014-10-17,6,
2014-10-18,16,
2014-10-19,70,
2014-10-21,3,
2014-10-22,8,
2014-10-23,2,
2014-10-24,1,
2014-10-25,42,
2014-10-26,48,
2014-10-27,19,
2014-10-28,6,
2014-10-29,4,
