Date,Count,Unnamed: 0.1
2013-09-24,48,9.0
2013-09-25,73,8.0
2013-09-26,51,
2013-09-27,38,
2013-09-28,44,
2013-09-29,75,
2013-09-30,55,
2013-10-01,25,
2013-10-02,65,
2013-10-03,46,
2013-10-04,60,3.0
2013-10-05,60,2.0
2013-10-06,67,1.0
2013-10-07,53,0.0
2013-10-08,30,7.0
2013-10-09,35,6.0
2013-10-10,64,4.0
2013-10-11,73,5.0
2013-10-12,46,
2013-10-13,20,
2013-10-14,63,
2013-10-15,17,
2013-10-18,63,
2013-10-19,65,
2013-10-20,61,
2013-10-21,117,
2013-10-22,79,
2013-10-23,66,
2013-10-24,21,
2013-10-25,264,
2013-10-26,89,
2013-10-27,62,
2013-10-28,52,
2013-10-29,70,
2013-10-30,63,
2013-10-31,43,
2013-11-01,49,
2013-11-02,53,
2013-11-03,29,
2013-11-04,47,
2013-11-05,16,
2013-11-06,41,
2013-11-07,107,
2013-11-08,72,
2013-11-09,46,
2013-11-10,22,
2013-11-11,41,
2013-11-12,66,
2013-11-13,63,
2013-11-14,52,
2013-11-15,38,
2013-11-16,62,
2013-11-17,30,
2013-11-18,1,
2013-11-19,5,
2013-11-20,44,
2013-11-22,29,
2013-11-23,46,
2013-11-24,26,
2013-11-25,34,
2013-11-26,60,
2013-11-27,46,
2013-11-28,72,
2013-11-29,37,
2013-11-30,39,
2013-12-01,14,
2013-12-02,59,
2013-12-03,24,
2013-12-04,49,
2013-12-05,56,
2013-12-06,95,
2013-12-07,35,
2013-12-08,48,
2013-12-09,46,
2013-12-10,32,
2013-12-11,150,
2013-12-12,60,
2013-12-13,51,
2013-12-14,73,
2013-12-15,38,
2013-12-16,50,
2013-12-17,74,
2013-12-18,60,
2013-12-19,51,
2013-12-20,4,
2013-12-22,1,
2013-12-23,42,
2013-12-24,37,
2013-12-25,32,
2013-12-26,46,
2013-12-27,17,
2014-01-03,37,
2014-01-04,27,
2014-01-05,60,
2014-01-06,130,
2014-01-07,114,
2014-01-08,33,
2014-01-09,39,
2014-01-10,56,
2014-01-11,58,
2014-01-12,29,
2014-01-13,67,
2014-01-14,45,
2014-01-15,59,
2014-01-16,36,
2014-01-20,117,
2014-01-21,149,
2014-01-22,309,
2014-01-23,201,
2014-01-24,161,
2014-01-25,10,
2014-01-27,89,
2014-01-28,111,
2014-01-29,161,
2014-01-30,52,
2014-01-31,210,
2014-02-01,96,
2014-02-02,130,
2014-02-03,98,
2014-02-04,70,
2014-02-05,67,
2014-02-06,114,
2014-02-07,152,
2014-02-08,76,
2014-02-10,213,
2014-02-11,92,
2014-02-12,128,
2014-02-13,147,
2014-02-14,110,
2014-02-15,92,
2014-02-16,83,
2014-02-17,11,
2014-02-19,5,
2014-02-20,56,
2014-02-21,153,
2014-02-22,74,
2014-02-23,92,
2014-02-24,57,
2014-02-25,81,
2014-02-26,130,
2014-02-27,39,
2014-02-28,32,
2014-03-01,55,
2014-03-02,66,
2014-03-03,47,
2014-03-04,79,
2014-03-05,42,
2014-03-06,47,
2014-03-07,89,
2014-03-09,6,
2014-03-10,148,
2014-03-11,148,
2014-03-12,304,
2014-03-13,136,
2014-03-14,150,
2014-03-15,144,
2014-03-16,148,
2014-03-17,138,
2014-03-18,33,
2014-03-21,48,
2014-03-22,77,
2014-03-23,78,
2014-03-24,60,
2014-03-25,186,
2014-03-26,99,
2014-03-27,40,
2014-03-28,64,
2014-03-29,65,
2014-03-30,61,
2014-03-31,60,
2014-04-01,49,
2014-04-02,58,
2014-04-03,80,
2014-04-04,73,
2014-04-05,45,
2014-04-06,45,
2014-04-08,562,
2014-04-09,174,
2014-04-10,78,
2014-04-11,116,
2014-04-14,88,
2014-04-16,137,
2014-04-17,251,
2014-04-18,247,
2014-04-19,15,
2014-04-23,296,
2014-04-24,455,
2014-04-25,290,
2014-04-26,264,
2014-04-27,482,
2014-04-28,246,
2014-04-29,228,
2014-04-30,257,
2014-05-01,214,
2014-05-02,203,
2014-05-03,250,
2014-05-04,221,
2014-05-05,240,
2014-05-06,267,
2014-05-07,236,
2014-05-08,266,
2014-05-09,169,
2014-05-10,1,
2014-05-11,1,
2014-05-13,32,
2014-05-14,150,
2014-05-20,55,
2014-05-22,190,
2014-05-23,387,
2014-05-24,432,
2014-05-25,237,
2014-05-26,209,
2014-05-27,269,
2014-05-28,268,
2014-05-29,226,
2014-05-30,273,
2014-05-31,244,
2014-06-01,231,
2014-06-02,210,
2014-06-03,247,
2014-06-04,96,
2014-06-05,143,
2014-06-06,213,
2014-06-07,246,
2014-06-08,410,
2014-06-09,422,
2014-06-10,562,
2014-06-11,388,
2014-06-12,444,
2014-06-13,347,
2014-06-14,337,
2014-06-15,240,
2014-06-16,64,
2014-06-17,31,
2014-06-18,5,
2014-09-15,155,
2014-09-16,138,
2014-09-17,191,
2014-09-18,339,
2014-09-19,174,
2014-09-20,30,
2014-09-21,1,
2014-09-23,143,
2014-09-24,239,
2014-09-25,248,
2014-09-26,1161,
2014-09-27,330,
2014-09-28,247,
2014-09-29,229,
2014-09-30,179,
2014-10-01,68,
2014-10-07,161,
2014-10-08,139,
2014-10-09,348,
2014-10-10,540,
2014-10-11,420,
2014-10-14,127,
2014-10-15,198,
2014-10-16,720,
2014-10-17,865,
2014-10-18,372,
2014-10-19,212,
2014-10-21,153,
2014-10-22,241,
2014-10-23,272,
2014-10-24,93,
2014-10-25,143,
2014-10-26,118,
2014-10-27,174,
2014-10-28,176,
2014-10-29,111,
