Date,Count,Unnamed: 0.1
2013-09-24,10,9.0
2013-09-25,29,8.0
2013-09-26,19,
2013-09-27,23,
2013-09-28,27,
2013-09-29,16,
2013-09-30,29,
2013-10-01,10,
2013-10-02,31,
2013-10-03,5,
2013-10-04,31,3.0
2013-10-05,35,2.0
2013-10-06,59,1.0
2013-10-07,49,0.0
2013-10-08,65,7.0
2013-10-09,66,6.0
2013-10-10,99,4.0
2013-10-11,65,5.0
2013-10-12,117,
2013-10-13,114,
2013-10-14,89,
2013-10-15,2,
2013-10-18,61,
2013-10-19,32,
2013-10-20,22,
2013-10-21,16,
2013-10-22,12,
2013-10-23,20,
2013-10-24,6,
2013-10-25,22,
2013-10-26,6,
2013-10-27,15,
2013-10-28,46,
2013-10-29,13,
2013-10-30,80,
2013-10-31,22,
2013-11-01,17,
2013-11-02,15,
2013-11-03,10,
2013-11-04,17,
2013-11-05,5,
2013-11-06,10,
2013-11-07,18,
2013-11-08,18,
2013-11-09,3,
2013-11-10,9,
2013-11-11,11,
2013-11-12,6,
2013-11-13,19,
2013-11-14,19,
2013-11-15,20,
2013-11-16,16,
2013-11-17,24,
2013-11-18,1,
2013-11-19,1,
2013-11-20,16,
2013-11-22,1,
2013-11-23,15,
2013-11-24,8,
2013-11-25,10,
2013-11-26,5,
2013-11-27,22,
2013-11-28,15,
2013-11-29,19,
2013-11-30,13,
2013-12-01,14,
2013-12-02,7,
2013-12-03,3,
2013-12-04,23,
2013-12-05,54,
2013-12-06,19,
2013-12-07,8,
2013-12-08,10,
2013-12-09,14,
2013-12-10,14,
2013-12-11,13,
2013-12-12,17,
2013-12-13,14,
2013-12-14,14,
2013-12-15,17,
2013-12-16,16,
2013-12-17,11,
2013-12-18,18,
2013-12-19,19,
2013-12-20,1,
2013-12-22,1,
2013-12-23,12,
2013-12-24,315,
2013-12-25,32,
2013-12-26,19,
2013-12-27,364,
2014-01-03,6,
2014-01-04,11,
2014-01-05,11,
2014-01-06,13,
2014-01-07,10,
2014-01-08,23,
2014-01-09,15,
2014-01-10,15,
2014-01-11,9,
2014-01-12,13,
2014-01-13,6,
2014-01-14,7,
2014-01-15,17,
2014-01-16,16,
2014-01-20,5,
2014-01-21,8,
2014-01-22,11,
2014-01-23,31,
2014-01-24,5,
2014-01-25,4,
2014-01-27,10,
2014-01-28,13,
2014-01-29,13,
2014-01-30,4,
2014-01-31,10,
2014-02-01,12,
2014-02-02,12,
2014-02-03,6,
2014-02-04,5,
2014-02-05,4,
2014-02-06,7,
2014-02-07,12,
2014-02-08,7,
2014-02-10,4,
2014-02-11,17,
2014-02-12,9,
2014-02-13,16,
2014-02-14,10,
2014-02-15,16,
2014-02-16,13,
2014-02-17,5,
2014-02-19,2,
2014-02-20,8,
2014-02-21,19,
2014-02-22,17,
2014-02-23,13,
2014-02-24,17,
2014-02-25,13,
2014-02-26,33,
2014-02-27,5,
2014-02-28,7,
2014-03-01,16,
2014-03-02,10,
2014-03-03,10,
2014-03-04,13,
2014-03-05,8,
2014-03-06,9,
2014-03-07,9,
2014-03-09,4,
2014-03-10,20,
2014-03-11,12,
2014-03-12,28,
2014-03-13,36,
2014-03-14,38,
2014-03-15,26,
2014-03-16,20,
2014-03-17,44,
2014-03-18,8,
2014-03-21,66,
2014-03-22,31,
2014-03-23,9,
2014-03-24,20,
2014-03-25,17,
2014-03-26,16,
2014-03-27,27,
2014-03-28,8,
2014-03-29,12,
2014-03-30,15,
2014-03-31,12,
2014-04-01,10,
2014-04-02,13,
2014-04-03,19,
2014-04-04,20,
2014-04-05,19,
2014-04-06,18,
2014-04-08,9,
2014-04-09,18,
2014-04-10,23,
2014-04-11,213,
2014-04-14,10,
2014-04-16,54,
2014-04-17,79,
2014-04-18,73,
2014-04-19,7,
2014-04-23,48,
2014-04-24,69,
2014-04-25,71,
2014-04-26,63,
2014-04-27,77,
2014-04-28,68,
2014-04-29,83,
2014-04-30,79,
2014-05-01,65,
2014-05-02,110,
2014-05-03,118,
2014-05-04,136,
2014-05-05,217,
2014-05-06,97,
2014-05-07,92,
2014-05-08,55,
2014-05-09,62,
2014-05-14,4,
2014-05-20,5,
2014-05-22,44,
2014-05-23,88,
2014-05-24,85,
2014-05-25,115,
2014-05-26,108,
2014-05-27,107,
2014-05-28,62,
2014-05-29,74,
2014-05-30,85,
2014-05-31,177,
2014-06-01,260,
2014-06-02,54,
2014-06-03,59,
2014-06-04,70,
2014-06-05,20,
2014-06-06,93,
2014-06-07,87,
2014-06-08,60,
2014-06-09,90,
2014-06-10,120,
2014-06-11,106,
2014-06-12,120,
2014-06-13,113,
2014-06-14,79,
2014-06-15,49,
2014-06-16,10,
2014-06-17,4,
2014-06-18,5,
2014-09-15,34,
2014-09-16,86,
2014-09-17,52,
2014-09-18,57,
2014-09-19,86,
2014-09-20,17,
2014-09-23,32,
2014-09-24,58,
2014-09-25,90,
2014-09-26,106,
2014-09-27,90,
2014-09-28,67,
2014-09-29,75,
2014-09-30,76,
2014-10-01,105,
2014-10-07,98,
2014-10-08,169,
2014-10-09,356,
