Date,Count
2013-09-24,10
2013-09-25,24
2013-09-26,27
2013-09-27,17
2013-09-28,24
2013-09-29,31
2013-09-30,29
2013-10-01,10
2013-10-02,96
2013-10-03,8
2013-10-04,17
2013-10-05,27
2013-10-06,22
2013-10-07,12
2013-10-08,12
2013-10-09,12
2013-10-10,30
2013-10-11,18
2013-10-12,28
2013-10-13,17
2013-10-14,19
2013-10-15,2
2013-10-18,13
2013-10-19,17
2013-10-20,22
2013-10-21,13
2013-10-22,17
2013-10-23,20
2013-10-24,12
2013-10-25,18
2013-10-26,23
2013-10-27,13
2013-10-28,20
2013-10-29,23
2013-10-30,24
2013-10-31,10
2013-11-01,16
2013-11-02,18
2013-11-03,19
2013-11-04,33
2013-11-05,9
2013-11-06,18
2013-11-07,13
2013-11-08,21
2013-11-09,14
2013-11-10,23
2013-11-11,16
2013-11-12,16
2013-11-13,21
2013-11-14,24
2013-11-15,14
2013-11-16,469
2013-11-17,18
2013-11-18,36
2013-11-19,42
2013-11-20,54
2013-11-22,8
2013-11-23,15
2013-11-24,15
2013-11-25,12
2013-11-26,15
2013-11-27,6
2013-11-28,24
2013-11-29,34
2013-11-30,11
2013-12-01,13
2013-12-02,13
2013-12-03,17
2013-12-04,17
2013-12-05,9
2013-12-06,15
2013-12-07,6
2013-12-08,18
2013-12-09,19
2013-12-10,11
2013-12-11,6
2013-12-12,19
2013-12-13,14
2013-12-14,23
2013-12-15,11
2013-12-16,9
2013-12-17,10
2013-12-18,23
2013-12-19,25
2013-12-20,1
2013-12-22,1
2013-12-23,20
2013-12-24,13
2013-12-25,15
2013-12-26,25
2013-12-27,12
2014-01-03,19
2014-01-04,20
2014-01-05,10
2014-01-06,23
2014-01-07,12
2014-01-08,41
2014-01-09,32
2014-01-10,38
2014-01-11,30
2014-01-12,30
2014-01-13,40
2014-01-14,74
2014-01-15,56
2014-01-16,60
2014-01-20,58
2014-01-21,130
2014-01-22,62
2014-01-23,72
2014-01-24,36
2014-01-25,22
2014-01-27,32
2014-01-28,50
2014-01-29,34
2014-01-30,18
2014-01-31,20
2014-02-01,46
2014-02-02,76
2014-02-03,38
2014-02-04,30
2014-02-05,45
2014-02-06,87
2014-02-07,45
2014-02-08,45
2014-02-10,111
2014-02-11,141
